e2,rel,n
/m/011vx3,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,0
/m/011vx3,/music/instrument/instrumentalists,0
/m/011vx3,/music/record_label/artist,0
/m/011w20,/people/ethnicity/people,1
/m/011wtv,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0
/m/011wtv,/film/actor/film./film/performance/film,0
/m/011x_4,/film/actor/film./film/performance/film,1
/m/011x_4,/film/film_subject/films,0
/m/011x_4,/media_common/netflix_genre/titles,0
/m/011xg5,/award/award_category/nominees./award/award_nomination/nominated_for,0
/m/011xg5,/film/actor/film./film/performance/film,1
/m/011xhx,/music/genre/artists,0
/m/011xhx,/music/group_member/membership./music/group_membership/group,1
/m/011xhx,/music/performance_role/regular_performances./music/group_membership/group,1
/m/011xhx,/music/record_label/artist,1
/m/011xjd,/film/film/personal_appearances./film/personal_film_appearance/person,0
/m/011xjd,/people/cause_of_death/people,0
/m/011xy1,/education/educational_degree/people_with_this_degree./education/education/institution,0
/m/011ycb,/award/award_category/nominees./award/award_nomination/nominated_for,0
/m/011ycb,/film/actor/film./film/performance/film,0
/m/011yd2,/award/award_category/nominees./award/award_nomination/nominated_for,0
/m/011yd2,/award/award_ceremony/awards_presented./award/award_honor/honored_for,1
/m/011yd2,/film/actor/film./film/performance/film,1
/m/011yd2,/media_common/netflix_genre/titles,1
/m/011ydl,/award/award_category/nominees./award/award_nomination/nominated_for,1
/m/011ydl,/award/award_ceremony/awards_presented./award/award_honor/honored_for,1
/m/011ydl,/film/actor/film./film/performance/film,0
/m/011yfd,/award/award_category/nominees./award/award_nomination/nominated_for,0
/m/011yfd,/award/award_ceremony/awards_presented./award/award_honor/honored_for,0
/m/011yfd,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,0
/m/011yfd,/media_common/netflix_genre/titles,0
/m/011yg9,/award/award_category/nominees./award/award_nomination/nominated_for,0
/m/011yg9,/award/award_ceremony/awards_presented./award/award_honor/honored_for,1
/m/011yhm,/award/award_category/nominees./award/award_nomination/nominated_for,0
/m/011yhm,/award/award_ceremony/awards_presented./award/award_honor/honored_for,0
/m/011yhm,/media_common/netflix_genre/titles,1
/m/011ykb,/award/award_category/nominees./award/award_nomination/nominated_for,1
/m/011ykb,/award/award_ceremony/awards_presented./award/award_honor/honored_for,0
/m/011ykb,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0
/m/011ykb,/film/actor/film./film/performance/film,0
/m/011ykb,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,1
/m/011yl_,/award/award_category/nominees./award/award_nomination/nominated_for,0
/m/011yl_,/award/award_ceremony/awards_presented./award/award_honor/honored_for,0
/m/011yn5,/award/award_category/nominees./award/award_nomination/nominated_for,0
/m/011yn5,/award/award_ceremony/awards_presented./award/award_honor/honored_for,0
/m/011yn5,/media_common/netflix_genre/titles,0
/m/011yph,/award/award_category/nominees./award/award_nomination/nominated_for,1
/m/011yph,/media_common/netflix_genre/titles,0
/m/011ypx,/award/award_category/nominees./award/award_nomination/nominated_for,0
/m/011ypx,/award/award_ceremony/awards_presented./award/award_honor/honored_for,0
/m/011ypx,/film/film_subject/films,1
/m/011yqc,/award/award_category/nominees./award/award_nomination/nominated_for,0
/m/011yqc,/award/award_ceremony/awards_presented./award/award_honor/honored_for,0
/m/011yqc,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0
/m/011yqc,/film/director/film,0
/m/011yqc,/media_common/netflix_genre/titles,1
/m/011yr9,/award/award_category/nominees./award/award_nomination/nominated_for,0
/m/011yr9,/film/actor/film./film/performance/film,1
/m/011yrp,/award/award_category/nominees./award/award_nomination/nominated_for,0
/m/011ys5,/film/film/genre,0
/m/011ys5,/tv/tv_program/genre,0
/m/011ysn,/award/award_category/nominees./award/award_nomination/nominated_for,0
/m/011ysn,/film/actor/film./film/performance/film,0
/m/011yth,/award/award_category/nominees./award/award_nomination/nominated_for,0
/m/011yth,/film/actor/film./film/performance/film,1
/m/011ywj,/award/award_category/nominees./award/award_nomination/nominated_for,0
/m/011ywj,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0
/m/011ywj,/film/actor/film./film/performance/film,0
/m/011ywj,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,1
/m/011ywj,/media_common/netflix_genre/titles,0
/m/011yxg,/award/award_category/nominees./award/award_nomination/nominated_for,0
/m/011yxg,/film/film_subject/films,0
/m/011yxy,/award/award_category/nominees./award/award_nomination/nominated_for,1
/m/011yxy,/media_common/netflix_genre/titles,1
/m/011z3g,/award/award_category/winners./award/award_honor/award_winner,0
/m/011z3g,/music/genre/artists,1
/m/011z3g,/music/record_label/artist,0
/m/011zd3,/award/award_category/winners./award/award_honor/award_winner,1
/m/011zd3,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0
/m/011zd3,/award/award_winner/awards_won./award/award_honor/award_winner,0
/m/011zd3,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,1
/m/011zd3,/education/educational_institution/students_graduates./education/education/student,1
/m/011zdm,/medicine/symptom/symptom_of,0
/m/011zf2,/award/award_category/winners./award/award_honor/award_winner,0
/m/011zf2,/award/award_ceremony/awards_presented./award/award_honor/award_winner,0
/m/011zf2,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0
/m/011zf2,/award/award_winner/awards_won./award/award_honor/award_winner,0
/m/011zf2,/education/educational_institution/students_graduates./education/education/student,0
/m/011zf2,/music/genre/artists,0
/m/011zf2,/music/instrument/instrumentalists,0
/m/011zf2,/music/record_label/artist,0
/m/011zf2,/people/ethnicity/people,0
/m/011zwl,/education/educational_institution/students_graduates./education/education/student,0
/m/0121h7,/location/location/adjoin_s./location/adjoining_relationship/adjoins,1
/m/0121rx,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,1
/m/0121rx,/influence/influence_node/influenced_by,1
/m/0121sr,/film/film/language,1
/m/012201,/award/award_category/winners./award/award_honor/award_winner,0
/m/012201,/education/educational_institution/students_graduates./education/education/student,0
/m/012201,/film/film/music,1
/m/012201,/music/genre/artists,0
/m/0122wc,/sports/sports_position/players./sports/sports_team_roster/team,0
/m/0123j6,/organization/role/leaders./organization/leadership/organization,1
/m/0123qq,/media_common/netflix_genre/titles,1
/m/0123r4,/music/group_member/membership./music/group_membership/group,0
/m/0123r4,/music/performance_role/regular_performances./music/group_membership/group,0
/m/01242_,/award/award_category/nominees./award/award_nomination/nominated_for,1
/m/01242_,/award/award_ceremony/awards_presented./award/award_honor/honored_for,0
/m/01242_,/film/actor/film./film/performance/film,1
/m/01243b,/music/genre/parent_genre,0
/m/0124k9,/award/award_category/nominees./award/award_nomination/nominated_for,0
/m/0124ld,/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,0
/m/0124ld,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,0
/m/0124ld,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics,0
/m/0125xq,/award/award_category/nominees./award/award_nomination/nominated_for,1
/m/0125xq,/media_common/netflix_genre/titles,1
/m/0126hc,/people/person/places_lived./people/place_lived/location,1
/m/0126t5,/music/genre/parent_genre,0
/m/0126y2,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0
/m/0126y2,/music/genre/artists,0
/m/0126y2,/music/record_label/artist,0
/m/0126y2,/people/ethnicity/people,0
/m/01271h,/music/genre/artists,0
/m/01271h,/music/instrument/instrumentalists,0
/m/01271h,/music/record_label/artist,1
/m/0127c4,/location/country/second_level_divisions,0
/m/0127c4,/location/location/contains,0
/m/0127c4,/organization/organization/headquarters./location/mailing_address/state_province_region,0
/m/0127gn,/award/award_category/winners./award/award_honor/award_winner,1
/m/0127m7,/award/award_category/winners./award/award_honor/award_winner,0
/m/0127m7,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0
/m/0127m7,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,0
/m/0127m7,/people/ethnicity/people,0
/m/0127ps,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0
/m/0127ps,/film/actor/film./film/performance/film,0
/m/0127ps,/film/director/film,0
/m/0127s7,/award/award_ceremony/awards_presented./award/award_honor/award_winner,0
/m/0127s7,/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant,0
/m/0127s7,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,1
/m/0127s7,/music/genre/artists,1
/m/0127s7,/music/record_label/artist,1
/m/0127xk,/award/award_category/winners./award/award_honor/award_winner,1
/m/0127xk,/influence/influence_node/influenced_by,1
/m/012_53,/education/educational_institution/students_graduates./education/education/student,1
/m/012bk,/base/culturalevent/event/entity_involved,0
/m/012bk,/education/educational_institution/students_graduates./education/education/student,1
/m/012bk,/people/ethnicity/people,0
/m/012c6j,/education/educational_institution/students_graduates./education/education/student,1
/m/012c6x,/people/cause_of_death/people,1
/m/012cj0,/people/cause_of_death/people,1
/m/012cph,/influence/influence_node/influenced_by,1
/m/012d40,/award/award_category/winners./award/award_honor/award_winner,0
/m/012d40,/award/award_winning_work/awards_won./award/award_honor/award_winner,0
/m/012d40,/music/genre/artists,0
/m/012dtf,/people/cause_of_death/people,1
/m/012fvq,/education/educational_degree/people_with_this_degree./education/education/institution,1
/m/012fvq,/education/educational_institution/campuses,1
/m/012fvq,/education/educational_institution_campus/educational_institution,1
/m/012fzm,/location/location/contains,0
/m/012fzm,/people/person/place_of_birth,0
/m/012g92,/award/award_category/winners./award/award_honor/award_winner,0
/m/012g92,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0
/m/012g92,/award/award_winner/awards_won./award/award_honor/award_winner,0
/m/012gbb,/award/award_category/winners./award/award_honor/award_winner,0
/m/012gbb,/award/award_winning_work/awards_won./award/award_honor/award_winner,0
/m/012gbb,/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant,0
/m/012gbb,/base/popstra/celebrity/dated./base/popstra/dated/participant,0
/m/012gbb,/education/field_of_study/students_majoring./education/education/student,0
/m/012gbb,/people/cause_of_death/people,0
/m/012gbb,/people/ethnicity/people,0
/m/012gk9,/film/actor/film./film/performance/film,1
/m/012gk9,/film/film/prequel,1
/m/012gq6,/people/ethnicity/people,0
/m/012gx2,/education/educational_degree/people_with_this_degree./education/education/student,1
/m/012gx2,/education/educational_institution/students_graduates./education/education/student,0
/m/012gx2,/education/field_of_study/students_majoring./education/education/student,1
/m/012jc,/medicine/disease/risk_factors,0
/m/012jfb,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,1
/m/012ky3,/award/award_category/winners./award/award_honor/award_winner,0
/m/012ky3,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0
/m/012ky3,/award/award_winner/awards_won./award/award_honor/award_winner,0
/m/012ky3,/film/film/music,0
/m/012ljv,/award/award_category/winners./award/award_honor/award_winner,0
/m/012ljv,/award/award_ceremony/awards_presented./award/award_honor/award_winner,0
/m/012ljv,/film/film/music,0
/m/012ljv,/music/genre/artists,1
/m/012lzr,/location/location/contains,0
/m/012m_,/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,0
/m/012m_,/people/person/nationality,0
/m/012m_,/people/person/places_lived./people/place_lived/location,1
/m/012mrr,/award/award_category/nominees./award/award_nomination/nominated_for,0
/m/012mrr,/film/special_film_performance_type/film_performance_type./film/performance/film,1
/m/012mzw,/education/educational_degree/people_with_this_degree./education/education/institution,0
/m/012mzw,/organization/role/leaders./organization/leadership/organization,1
/m/012mzw,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school,1
/m/012mzw,/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school,1
/m/012q8y,/location/location/contains,0
/m/012qxv,/people/person/places_lived./people/place_lived/location,0
/m/012s1d,/award/award_category/nominees./award/award_nomination/nominated_for,1
/m/012t1,/award/award_category/winners./award/award_honor/award_winner,0
/m/012t1,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0
/m/012t1,/education/educational_institution/students_graduates./education/education/student,0
/m/012t1,/film/film/produced_by,0
/m/012t1,/film/film/story_by,0
/m/012t1,/film/film/written_by,0
/m/012t1,/people/ethnicity/people,0
/m/012t_z,/people/person/profession,0
/m/012t_z,/people/profession/specialization_of,0
/m/012ts,/people/person/place_of_birth,0
/m/012v1t,/education/educational_degree/people_with_this_degree./education/education/student,1
/m/012v8,/people/ethnicity/languages_spoken,1
/m/012v9y,/award/award_category/winners./award/award_honor/award_winner,0
/m/012v9y,/award/award_ceremony/awards_presented./award/award_honor/award_winner,0
/m/012v9y,/award/award_winning_work/awards_won./award/award_honor/award_winner,0
/m/012v9y,/base/americancomedy/celebrity_impressionist/celebrities_impersonated,0
/m/012v9y,/education/educational_institution/students_graduates./education/education/student,0
/m/012vby,/award/award_category/winners./award/award_honor/award_winner,0
/m/012vby,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0
/m/012vby,/award/award_winner/awards_won./award/award_honor/award_winner,0
/m/012vby,/award/award_winning_work/awards_won./award/award_honor/award_winner,0
/m/012vby,/film/film/produced_by,0
/m/012vby,/people/cause_of_death/people,0
/m/012vd6,/award/award_ceremony/awards_presented./award/award_honor/award_winner,1
/m/012vd6,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,0
/m/012vd6,/influence/influence_node/influenced_by,0
/m/012vd6,/music/genre/artists,1
/m/012vf6,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,0
/m/012vm6,/music/genre/artists,1
/m/012vm6,/music/performance_role/regular_performances./music/group_membership/group,0
/m/012vm6,/music/record_label/artist,0
/m/012vwb,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school,0
/m/012w70,/film/film/language,0
/m/012wg,/award/award_category/winners./award/award_honor/award_winner,0
/m/012wg,/award/award_ceremony/awards_presented./award/award_honor/award_winner,0
/m/012wg,/award/award_winning_work/awards_won./award/award_honor/award_winner,0
/m/012wg,/education/educational_institution/students_graduates./education/education/student,0
/m/012wg,/film/film/music,0
/m/012wg,/film/film/story_by,0
/m/012wg,/film/film/written_by,0
/m/012wg,/people/cause_of_death/people,0
/m/012wgb,/film/film/country,1
/m/012wgb,/film/film/release_date_s./film/film_regional_release_date/film_release_region,0
/m/012wgb,/time/event/locations,0
/m/012wxt,/people/person/profession,1
/m/012wyq,/location/location/contains,1
/m/012x03,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,0
/m/012x1l,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,0
/m/012x1l,/broadcast/content/artist,1
/m/012x1l,/music/performance_role/regular_performances./music/group_membership/group,0
/m/012x1l,/music/record_label/artist,1
/m/012x2b,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,1
/m/012x2b,/education/field_of_study/students_majoring./education/education/student,0
/m/012x4t,/award/award_category/winners./award/award_honor/award_winner,1
/m/012x4t,/award/award_ceremony/awards_presented./award/award_honor/award_winner,0
/m/012x4t,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0
/m/012x4t,/award/award_winner/awards_won./award/award_honor/award_winner,0
/m/012x4t,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,0
/m/012x4t,/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend,0
/m/012x4t,/music/genre/artists,1
/m/012x4t,/music/instrument/instrumentalists,0
/m/012x4t,/music/record_label/artist,1
/m/012x7b,/music/genre/parent_genre,1
/m/012xdf,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0
/m/012xdf,/base/popstra/celebrity/dated./base/popstra/dated/participant,0
/m/012xdf,/education/educational_degree/people_with_this_degree./education/education/student,0
/m/012xdf,/education/educational_institution/students_graduates./education/education/student,0
/m/012xdf,/music/genre/artists,0
/m/012xdf,/music/record_label/artist,0
/m/012xdf,/people/ethnicity/people,0
/m/012xdf,/sports/sport/pro_athletes./sports/pro_sports_played/athlete,0
/m/012ycy,/music/genre/artists,0
/m/012ycy,/music/instrument/instrumentalists,0
/m/012z8_,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,0
/m/012z8_,/broadcast/content/artist,1
/m/012z8_,/music/genre/artists,1
/m/012z8_,/music/instrument/instrumentalists,0
/m/012z8_,/music/record_label/artist,1
/m/012z8_,/people/cause_of_death/people,0
/m/012zng,/music/genre/artists,0
/m/01304j,/award/award_ceremony/awards_presented./award/award_honor/award_winner,0
/m/01304j,/music/genre/artists,0
/m/01304j,/music/record_label/artist,1
/m/01309x,/award/award_category/winners./award/award_honor/award_winner,0
/m/01309x,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0
/m/01309x,/award/award_winner/awards_won./award/award_honor/award_winner,0
/m/01309x,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,0
/m/01309x,/music/instrument/instrumentalists,1
/m/01309x,/music/record_label/artist,0
/m/0130sy,/music/instrument/instrumentalists,0
/m/01314k,/location/location/contains,1
/m/01323p,/music/genre/artists,1
/m/01323p,/music/performance_role/regular_performances./music/group_membership/group,0
/m/01323p,/music/record_label/artist,0
/m/0132k4,/music/genre/artists,1
/m/0132k4,/music/instrument/instrumentalists,1
/m/0132k4,/music/record_label/artist,1
/m/0132k4,/people/cause_of_death/people,0
/m/0132k4,/people/ethnicity/people,1
/m/01336l,/medicine/disease/risk_factors,1
/m/01337_,/award/award_ceremony/awards_presented./award/award_honor/award_winner,1
/m/0133_p,/music/genre/parent_genre,0
/m/0133ch,/location/location/contains,1
/m/0133sq,/award/award_ceremony/awards_presented./award/award_honor/award_winner,1
/m/0133x7,/award/award_category/winners./award/award_honor/award_winner,0
/m/0133x7,/award/award_ceremony/awards_presented./award/award_honor/award_winner,0
/m/0133x7,/music/genre/artists,1
/m/0133x7,/music/record_label/artist,1
/m/013423,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,0
/m/013423,/music/instrument/instrumentalists,1
/m/013423,/music/record_label/artist,0
/m/0134bf,/people/person/places_lived./people/place_lived/location,1
/m/0134pk,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,0
/m/0134pk,/broadcast/content/artist,1
/m/0134pk,/music/genre/artists,0
/m/0134pk,/music/performance_role/regular_performances./music/group_membership/group,1
/m/0134pk,/music/record_label/artist,1
/m/0134s5,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,0
/m/0134s5,/broadcast/content/artist,1
/m/0134s5,/music/genre/artists,0
/m/0134s5,/music/performance_role/regular_performances./music/group_membership/group,1
/m/0134s5,/music/record_label/artist,1
/m/0134tg,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,0
/m/0134tg,/music/genre/artists,0
/m/0134tg,/music/performance_role/regular_performances./music/group_membership/group,0
/m/0134tg,/music/record_label/artist,1
/m/0134w7,/people/ethnicity/people,1
/m/0134wr,/award/award_ceremony/awards_presented./award/award_honor/award_winner,1
/m/0134wr,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0
/m/0134wr,/award/award_winner/awards_won./award/award_honor/award_winner,0
/m/0134wr,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,0
/m/0134wr,/music/genre/artists,0
/m/0134wr,/music/group_member/membership./music/group_membership/group,1
/m/0134wr,/music/performance_role/regular_performances./music/group_membership/group,0
/m/0134wr,/music/record_label/artist,1
/m/01352_,/sports/sports_position/players./sports/sports_team_roster/team,0
/m/0135cw,/people/person/employment_history./business/employment_tenure/company,0
/m/0135g,/film/film/featured_film_locations,0
/m/0135xb,/music/genre/artists,1
/m/0135xb,/music/instrument/instrumentalists,0
/m/0135xb,/music/record_label/artist,0
/m/01364q,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,0
/m/01364q,/music/genre/artists,1
/m/0136g9,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,1
/m/0136g9,/education/educational_institution/students_graduates./education/education/student,1
/m/0136jw,/location/location/contains,0
/m/0136p1,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0
/m/0136p1,/award/award_winner/awards_won./award/award_honor/award_winner,0
/m/0136p1,/music/genre/artists,1
/m/0136p1,/music/record_label/artist,1
/m/0136pk,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,0
/m/0136pk,/music/genre/artists,1
/m/0136pk,/music/record_label/artist,1
/m/013719,/education/educational_degree/people_with_this_degree./education/education/institution,1
/m/0137g1,/award/award_category/winners./award/award_honor/award_winner,0
/m/0137g1,/award/award_ceremony/awards_presented./award/award_honor/award_winner,0
/m/0137g1,/music/genre/artists,0
/m/0137g1,/music/instrument/instrumentalists,0
/m/0137g1,/music/record_label/artist,1
/m/0137hn,/music/genre/artists,0
/m/0137hn,/music/record_label/artist,0
/m/0137n0,/award/award_category/winners./award/award_honor/award_winner,1
/m/0137n0,/award/award_ceremony/awards_presented./award/award_honor/award_winner,1
/m/0137n0,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0
/m/0137n0,/award/award_winner/awards_won./award/award_honor/award_winner,0
/m/0137n0,/music/genre/artists,0
/m/0137n0,/music/record_label/artist,0
/m/013807,/location/location/contains,1
/m/01385g,/award/award_category/winners./award/award_honor/award_winner,0
/m/01385g,/education/educational_institution/students_graduates./education/education/student,0
/m/01385g,/people/cause_of_death/people,0
/m/01386_,/music/genre/artists,0
/m/01386_,/music/instrument/instrumentalists,0
/m/0138mv,/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club,0
/m/0138mv,/soccer/football_player/current_team./sports/sports_team_roster/team,0
/m/0138mv,/sports/pro_athlete/teams./sports/sports_team_roster/team,0
/m/0138mv,/sports/sports_league/teams./sports/sports_league_participation/team,0
/m/0138mv,/sports/sports_position/players./sports/sports_team_roster/team,0
/m/0138t4,/location/location/contains,1
/m/01399x,/music/artist/track_contributions./music/track_contribution/role,0
/m/01399x,/music/performance_role/track_performances./music/track_contribution/role,0
/m/0139q5,/award/award_category/winners./award/award_honor/award_winner,0
/m/013b2h,/award/award_category/winners./award/award_honor/ceremony,0
/m/013cr,/education/educational_institution/students_graduates./education/education/student,0
/m/013d7t,/people/person/place_of_birth,1
/m/013d7t,/people/person/places_lived./people/place_lived/location,1
/m/013d_f,/organization/organization/place_founded,0
/m/013dy7,/location/hud_county_place/place,0
/m/013dy7,/location/location/contains,0
/m/013f9v,/location/hud_county_place/place,1
/m/013fn,/organization/role/leaders./organization/leadership/organization,1
/m/013gwb,/people/person/place_of_birth,0
/m/013gz,/film/film/featured_film_locations,0
/m/013gz,/location/location/contains,1
/m/013hvr,/location/location/contains,0
/m/013jz2,/location/hud_county_place/place,1
/m/013jz2,/location/location/contains,1
/m/013jz2,/people/person/places_lived./people/place_lived/location,0
/m/013kcv,/location/hud_county_place/place,1
/m/013kcv,/organization/organization/headquarters./location/mailing_address/citytown,1
/m/013kcv,/people/person/place_of_birth,0
/m/013knm,/award/award_category/winners./award/award_honor/award_winner,1
/m/013knm,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0
/m/013knm,/award/award_winner/awards_won./award/award_honor/award_winner,0
/m/013ksx,/film/film/featured_film_locations,1
/m/013ksx,/location/location/contains,1
/m/013ksx,/people/person/places_lived./people/place_lived/location,1
/m/013l6l,/location/hud_county_place/place,1
/m/013m43,/location/location/adjoin_s./location/adjoining_relationship/adjoins,0
/m/013m43,/location/location/contains,0
/m/013m4v,/location/location/adjoin_s./location/adjoining_relationship/adjoins,0
/m/013m4v,/location/location/contains,0
/m/013m4v,/people/person/places_lived./people/place_lived/location,0
/m/013m_x,/location/location/contains,0
/m/013m_x,/people/person/places_lived./people/place_lived/location,1
/m/013mj_,/location/location/contains,0
/m/013mtx,/location/location/contains,0
/m/013mzh,/location/location/contains,0
/m/013n0n,/location/location/contains,0
/m/013n2h,/location/location/contains,0
/m/013n2h,/people/person/places_lived./people/place_lived/location,0
/m/013n60,/location/hud_county_place/place,1
/m/013n60,/location/location/contains,0
/m/013nky,/business/job_title/people_with_this_title./business/employment_tenure/company,0
/m/013nky,/education/educational_degree/people_with_this_degree./education/education/institution,1
